reflection_magnitude_L,reflection_phase,optimal_length_l1,optimal_length_l2
0.639427,-2.984445,2.602545,3.896897
0.736471,1.110236,3.418119,3.933062
0.892180,-2.595340,3.139723,4.402507
0.218638,0.033648,2.731243,2.306197
0.026536,-1.892259,2.000211,2.192409
0.220441,0.560873,2.386612,2.474073
0.809430,-3.100760,2.802112,4.482792
0.340251,-2.164686,2.387666,2.717361
0.957213,-1.026707,4.947768,2.450626
0.847494,0.651730,3.982877,3.625170
0.807128,1.443447,2.509506,3.503249
0.378534,0.326981,2.926284,2.556609
0.829405,0.744682,3.976278,3.831370
0.704572,-2.853670,2.553241,3.882426
0.227898,-1.323314,2.846175,2.253353
0.101001,-1.395033,2.438384,2.141556
0.635684,-0.849284,3.888725,1.991637
0.266978,2.743582,2.341221,2.752815
0.648035,0.685690,3.634849,3.499098
0.163402,-0.757404,2.887796,2.131838
0.989523,0.879644,3.661421,3.748069
0.842852,1.734159,2.737181,4.076999
0.229048,-2.939901,2.231054,2.775452
0.210983,2.782884,2.361903,2.650358
0.876368,-1.164413,4.442901,2.334264
0.914548,-0.258541,4.617862,2.260770
0.264880,-1.591986,2.591095,2.246960
0.584586,2.499595,2.324718,3.462293
0.399401,-1.763560,3.243647,2.987138
0.090909,-2.845552,2.182476,2.523282
0.109649,0.800767,2.374410,2.674148
0.063528,-0.743808,2.078072,1.570888
0.996121,0.182931,5.154995,3.476946
0.011481,1.386836,2.039032,2.176310
0.681710,0.232291,3.847993,2.831378
0.111552,-0.409882,2.732659,2.199724
0.453724,2.851410,2.463378,3.366198
0.500586,-2.019090,2.948510,3.045992
0.912628,2.328037,2.484747,4.380327
0.608970,-2.181275,3.434401,3.797744
0.762511,0.247426,4.126114,3.001266
0.000572,-1.104860,1.847609,1.565395
0.019477,2.696106,2.396550,2.173019
0.307514,-2.777638,2.139351,2.822436
0.878010,2.808266,2.772287,4.700381
0.069213,1.637412,2.292127,2.351992
0.765834,-2.334885,3.008794,3.697073
0.265057,2.340066,2.277998,2.581960
0.423138,-1.810825,2.693083,2.490559
0.201151,-1.183021,2.579183,1.913714
0.995149,0.941712,3.658467,3.888348
0.121004,-1.729778,2.471426,2.453807
0.338086,0.554860,2.887162,2.846505
0.070993,0.823744,2.385390,2.705983
0.228942,2.547329,2.262920,2.515994
0.238005,1.061719,2.430675,2.775935
0.214237,-2.310253,2.685228,3.115331
0.472671,1.788317,2.389294,3.102147
0.807497,-1.945212,3.912045,3.718325
0.423579,-0.207190,3.465092,2.331694
0.729076,1.089282,3.373213,3.856115
0.402621,-1.009692,3.258668,2.016145
0.861673,-1.579239,4.287512,3.102399
0.421882,-1.391442,3.421061,2.558979
0.249806,2.659456,1.832601,2.171982
0.550325,-2.823737,2.780578,3.845392
0.999282,2.111324,3.179637,5.150189
0.848696,-2.096629,3.558908,3.729713
0.485641,-1.798579,3.106550,2.828503
0.378973,3.049285,2.385046,3.162158
0.265203,1.784868,2.112050,2.447859
0.957318,3.112833,2.812700,4.840655
0.555768,1.372300,2.905493,3.573468
0.968709,0.497504,4.511075,3.664178
0.542195,1.558076,2.937024,3.690456
0.502850,2.216204,2.478984,3.340200
0.157433,2.895159,2.306268,2.515052
0.595035,1.100893,3.117790,3.577345
0.235204,-2.388323,2.565916,3.050252
0.594519,0.750096,3.212995,3.216103
0.419225,0.525728,2.581538,2.418443
0.204259,1.358373,2.292915,2.626279
0.238686,-0.654797,2.734446,1.795245
0.316177,1.582511,2.271787,2.713984
0.072543,-0.262100,3.013033,2.664398
0.073261,-1.802305,2.253679,2.345477
0.265200,2.722249,2.550569,2.950089
0.369527,-2.150440,2.456680,2.769665
0.833745,1.278879,2.778395,3.585306
0.653976,-3.092439,2.180769,3.541827
0.817104,-1.260540,4.079444,2.262733
0.134291,-2.416333,1.867007,2.300804
0.107036,0.334414,2.328833,2.382716
0.717612,-1.862353,3.903709,3.567343
0.634238,-1.482933,3.255803,2.193232
